Thu Jun 16 04:11:18 2022 Epoch 15, lr: 0.0000990, val loss: 110.59661, acc: 61.17000
Thu Jun 16 04:11:19 2022 Epoch 36, lr: 0.0000930, val loss: 88.71224, acc: 68.72000
Thu Jun 16 04:11:37 2022 Epoch 8, lr: 0.0000998, val loss: 124.42289, acc: 55.50000
Thu Jun 16 04:11:39 2022 Epoch 25, lr: 0.0000968, val loss: 98.51804, acc: 64.60000
Thu Jun 16 04:11:45 2022 Epoch 37, lr: 0.0000926, val loss: 85.83140, acc: 69.90000
Thu Jun 16 04:11:46 2022 Epoch 16, lr: 0.0000988, val loss: 107.13232, acc: 62.20000
Thu Jun 16 04:12:07 2022 Epoch 26, lr: 0.0000965, val loss: 97.46001, acc: 65.02000
Thu Jun 16 04:12:12 2022 Epoch 38, lr: 0.0000922, val loss: 88.17555, acc: 69.56000
Thu Jun 16 04:12:14 2022 Epoch 17, lr: 0.0000986, val loss: 109.12229, acc: 61.15000
Thu Jun 16 04:12:25 2022 Epoch 9, lr: 0.0000997, val loss: 124.22744, acc: 55.57000
Thu Jun 16 04:12:35 2022 Epoch 27, lr: 0.0000962, val loss: 96.55965, acc: 65.77000
Thu Jun 16 04:12:39 2022 Epoch 39, lr: 0.0000918, val loss: 82.27097, acc: 71.81000
Thu Jun 16 04:12:41 2022 Epoch 18, lr: 0.0000984, val loss: 109.34911, acc: 61.59000
Thu Jun 16 04:13:02 2022 Epoch 28, lr: 0.0000959, val loss: 99.06963, acc: 64.08000
Thu Jun 16 04:13:06 2022 Epoch 40, lr: 0.0000914, val loss: 82.13788, acc: 71.50000
Thu Jun 16 04:13:09 2022 Epoch 19, lr: 0.0000982, val loss: 107.79391, acc: 61.86000
Thu Jun 16 04:13:12 2022 Epoch 10, lr: 0.0000996, val loss: 123.88067, acc: 55.63000
Thu Jun 16 04:13:29 2022 Epoch 29, lr: 0.0000956, val loss: 93.97759, acc: 66.93000
Thu Jun 16 04:13:32 2022 Epoch 41, lr: 0.0000909, val loss: 82.84259, acc: 70.85000
Thu Jun 16 04:13:37 2022 Epoch 20, lr: 0.0000980, val loss: 106.15761, acc: 62.26000
Thu Jun 16 04:13:57 2022 Epoch 30, lr: 0.0000952, val loss: 95.08673, acc: 66.42000
Thu Jun 16 04:13:59 2022 Epoch 42, lr: 0.0000905, val loss: 83.70617, acc: 70.60000
Thu Jun 16 04:14:00 2022 Epoch 11, lr: 0.0000995, val loss: 122.91607, acc: 56.67000
Thu Jun 16 04:14:05 2022 Epoch 21, lr: 0.0000978, val loss: 105.00867, acc: 63.29000
Thu Jun 16 04:14:25 2022 Epoch 31, lr: 0.0000949, val loss: 90.97986, acc: 67.53000
Thu Jun 16 04:14:26 2022 Epoch 43, lr: 0.0000900, val loss: 81.69853, acc: 71.78000
Thu Jun 16 04:14:33 2022 Epoch 22, lr: 0.0000976, val loss: 103.98077, acc: 63.38000
Thu Jun 16 04:14:48 2022 Epoch 12, lr: 0.0000994, val loss: 116.34483, acc: 58.05000
Thu Jun 16 04:14:53 2022 Epoch 32, lr: 0.0000946, val loss: 89.57390, acc: 68.17000
Thu Jun 16 04:14:53 2022 Epoch 44, lr: 0.0000895, val loss: 81.78514, acc: 71.41000
Thu Jun 16 04:15:01 2022 Epoch 23, lr: 0.0000973, val loss: 105.23067, acc: 62.67000
Thu Jun 16 04:15:20 2022 Epoch 45, lr: 0.0000890, val loss: 80.31766, acc: 72.51000
Thu Jun 16 04:15:20 2022 Epoch 33, lr: 0.0000942, val loss: 89.49694, acc: 68.46000
Thu Jun 16 04:15:29 2022 Epoch 24, lr: 0.0000970, val loss: 102.34087, acc: 64.10000
Thu Jun 16 04:15:35 2022 Epoch 13, lr: 0.0000993, val loss: 114.14483, acc: 58.82000
Thu Jun 16 04:15:47 2022 Epoch 46, lr: 0.0000885, val loss: 80.55998, acc: 72.02000
Thu Jun 16 04:15:48 2022 Epoch 34, lr: 0.0000938, val loss: 90.91584, acc: 67.74000
Thu Jun 16 04:15:57 2022 Epoch 25, lr: 0.0000968, val loss: 101.40416, acc: 63.55000
Thu Jun 16 04:16:13 2022 Epoch 47, lr: 0.0000880, val loss: 80.55451, acc: 71.54000
Thu Jun 16 04:16:15 2022 Epoch 35, lr: 0.0000934, val loss: 88.84930, acc: 68.43000
Thu Jun 16 04:16:23 2022 Epoch 14, lr: 0.0000991, val loss: 116.68867, acc: 58.45000
Thu Jun 16 04:16:25 2022 Epoch 26, lr: 0.0000965, val loss: 100.68708, acc: 64.31000
Thu Jun 16 04:16:41 2022 Epoch 48, lr: 0.0000875, val loss: 78.33692, acc: 72.99000
Thu Jun 16 04:16:43 2022 Epoch 36, lr: 0.0000930, val loss: 89.02240, acc: 68.80000
Thu Jun 16 04:16:52 2022 Epoch 27, lr: 0.0000962, val loss: 100.93106, acc: 63.74000
Thu Jun 16 04:17:07 2022 Epoch 49, lr: 0.0000870, val loss: 79.34962, acc: 72.26000
Thu Jun 16 04:17:10 2022 Epoch 37, lr: 0.0000926, val loss: 88.68245, acc: 68.63000
Thu Jun 16 04:17:13 2022 Epoch 15, lr: 0.0000990, val loss: 113.61831, acc: 59.28000
Thu Jun 16 04:17:20 2022 Epoch 28, lr: 0.0000959, val loss: 99.68855, acc: 65.23000
Thu Jun 16 04:17:34 2022 Epoch 50, lr: 0.0000864, val loss: 82.76552, acc: 71.26000
Thu Jun 16 04:17:38 2022 Epoch 38, lr: 0.0000922, val loss: 86.55535, acc: 69.64000
Thu Jun 16 04:17:48 2022 Epoch 29, lr: 0.0000956, val loss: 101.38049, acc: 63.72000
Thu Jun 16 04:18:01 2022 Epoch 51, lr: 0.0000859, val loss: 77.66950, acc: 73.14000
Thu Jun 16 04:18:02 2022 Epoch 16, lr: 0.0000988, val loss: 115.35463, acc: 58.98000
Thu Jun 16 04:18:05 2022 Epoch 39, lr: 0.0000918, val loss: 88.42218, acc: 68.26000
Thu Jun 16 04:18:16 2022 Epoch 30, lr: 0.0000952, val loss: 96.04197, acc: 66.42000
Thu Jun 16 04:18:28 2022 Epoch 52, lr: 0.0000854, val loss: 78.16233, acc: 72.88000
Thu Jun 16 04:18:33 2022 Epoch 40, lr: 0.0000914, val loss: 85.94030, acc: 70.12000
Thu Jun 16 04:18:44 2022 Epoch 31, lr: 0.0000949, val loss: 98.85253, acc: 65.36000
Thu Jun 16 04:18:49 2022 Epoch 17, lr: 0.0000986, val loss: 111.21759, acc: 60.77000
Thu Jun 16 04:18:55 2022 Epoch 53, lr: 0.0000848, val loss: 75.11394, acc: 73.58000
Thu Jun 16 04:19:01 2022 Epoch 41, lr: 0.0000909, val loss: 83.53810, acc: 70.56000
Thu Jun 16 04:19:12 2022 Epoch 32, lr: 0.0000946, val loss: 96.05012, acc: 66.07000
